Chromosome,Start,End,Strand,Name,Transcript,ID
chr1,1634346,1654257,-,CDK11A,11,ENSG00000008128
chr1,1656853,1670996,-,SLC35E2,3,ENSG00000215790
chr1,1684343,1696845,-,NADK,10,ENSG00000008130
chr1,1718770,1756892,-,GNB1,4,ENSG00000078369
chr1,1846720,1848632,+,CALML6,2,ENSG00000169885
chr1,1849321,1850704,-,TMEM52,5,ENSG00000178821
chr1,1853726,1922395,-,C1orf222,6,ENSG00000142609
chr1,1950863,1961721,+,GABRD,1,ENSG00000187730
chr1,1982070,2116448,+,PRKCZ,19,ENSG00000067606
chr1,2116717,2130427,-,C1orf86,9,ENSG00000162585
chr1,2121490,2122032,+,AL590822.2,1,ENSG00000269554
chr1,2144366,2145019,-,AL590822.1,1,ENSG00000203301
chr1,2160206,2238204,+,SKI,1,ENSG00000157933
chr1,2252822,2322972,-,MORN1,5,ENSG00000116151
chr1,2258581,2259042,+,AL589739.1,1,ENSG00000269753
chr1,2327230,2334563,+,RER1,7,ENSG00000157916
chr1,2337205,2343941,-,PEX10,7,ENSG00000157911
chr1,2399059,2436652,+,PLCH2,6,ENSG00000149527
chr1,2440286,2458026,-,PANK4,7,ENSG00000157881
chr1,2460908,2461603,-,HES5,1,ENSG00000197921
chr1,2488104,2494712,+,TNFRSF14,6,ENSG00000157873
chr1,2518235,2520866,+,FAM213B,8,ENSG00000157870
chr1,2522429,2560923,-,MMEL1,5,ENSG00000142606
chr1,2572807,2706156,-,TTC34,3,ENSG00000215912
chr1,2938251,2939384,+,ACTRT2,1,ENSG00000169717
chr1,2985824,3350375,+,PRDM16,9,ENSG00000142611
chr1,3379649,3397151,+,ARHGEF16,6,ENSG00000130762
chr1,3407092,3527832,-,MEGF6,4,ENSG00000162591
chr1,3541637,3545167,+,TPRG1L,2,ENSG00000158109
chr1,3547539,3566563,-,WRAP73,5,ENSG00000116213
chr1,3598930,3649643,+,TP73,11,ENSG00000078900
chr1,3669046,3688087,+,CCDC27,2,ENSG00000162592
chr1,3691938,3692485,+,SMIM1,3,ENSG00000235169
chr1,3697652,3713040,-,LRRC47,2,ENSG00000130764
chr1,3731966,3768971,-,CEP104,6,ENSG00000116198
chr1,3774168,3800305,+,DFFB,11,ENSG00000169598
chr1,3806524,3816750,-,C1orf174,1,ENSG00000198912
chr1,4715486,4834559,+,AJAP1,2,ENSG00000196581
chr1,5923325,6046349,-,NPHP4,4,ENSG00000131697
chr1,6100629,6160078,+,KCNAB2,16,ENSG00000069424
chr1,6100630,6101399,-,AL035406.1,1,ENSG00000268332
chr1,6165428,6240083,-,CHD5,7,ENSG00000116254
chr1,6241528,6259633,-,RPL22,7,ENSG00000116251
chr1,6266596,6279467,+,RNF207,2,ENSG00000158286
chr1,6285140,6295971,-,ICMT,4,ENSG00000116237
chr1,6304426,6305567,+,HES3,1,ENSG00000173673
chr1,6309398,6314965,-,GPR153,1,ENSG00000158292
chr1,6324657,6453459,-,ACOT7,9,ENSG00000097021
chr1,6473253,6479880,-,HES2,5,ENSG00000069812
chr1,6485016,6521245,+,ESPN,6,ENSG00000187017
chr1,6521494,6526167,-,TNFRSF25,12,ENSG00000215788
chr1,6527623,6579571,-,PLEKHG5,12,ENSG00000171680
chr1,6585914,6614562,-,NOL9,1,ENSG00000162408
chr1,6615434,6639644,+,TAS1R1,5,ENSG00000173662
chr1,6640670,6649272,+,ZBTB48,5,ENSG00000204859
chr1,6653425,6662877,-,KLHL21,5,ENSG00000162413
chr1,6674127,6681697,+,PHF13,1,ENSG00000116273
chr1,6685279,6694148,+,THAP3,5,ENSG00000041988
chr1,6694586,6761860,-,DNAJC11,7,ENSG00000007923
chr1,6845591,7826582,+,CAMTA1,11,ENSG00000171735
chr1,7831444,7839705,+,VAMP3,2,ENSG00000049245
chr1,7844938,7902815,+,PER3,3,ENSG00000049246
chr1,7904003,7913491,-,UTS2,3,ENSG00000049247
chr1,7980895,8000054,-,TNFRSF9,3,ENSG00000049249
chr1,8022846,8045114,+,PARK7,7,ENSG00000116288
chr1,8064582,8075679,-,ERRFI1,5,ENSG00000116285
chr1,8378169,8404073,+,SLC45A1,3,ENSG00000162426
chr1,8415147,8716356,-,RERE,11,ENSG00000142599
chr1,8921419,8934967,-,ENO1,3,ENSG00000074800
chr1,9005946,9034763,+,CA6,6,ENSG00000131686
chr1,9063359,9086404,-,SLC2A7,1,ENSG00000197241
chr1,9097645,9129595,-,SLC2A5,11,ENSG00000142583
chr1,9164478,9189086,-,GPR157,3,ENSG00000180758
chr1,9300055,9324928,+,H6PD,2,ENSG00000049239
chr1,9415951,9427634,+,SPSB1,4,ENSG00000171621
chr1,9599751,9642559,+,SLC25A33,1,ENSG00000171612
chr1,9648989,9673141,+,TMEM201,5,ENSG00000188807
chr1,9713837,9714494,-,C1orf200,1,ENSG00000179840
chr1,9770514,9787104,+,PIK3CD,4,ENSG00000171608
chr1,9790566,9883791,-,CLSTN1,4,ENSG00000171603
chr1,9910776,9932122,-,CTNNBIP1,5,ENSG00000178585
chr1,9982313,10002793,-,LZIC,5,ENSG00000162441
chr1,10032132,10045201,+,NMNAT1,4,ENSG00000173614
chr1,10057317,10075890,+,RBP7,2,ENSG00000162444
chr1,10093729,10240014,+,UBE4B,6,ENSG00000130939
chr1,10292387,10438460,+,KIF1B,5,ENSG00000054523
chr1,10459175,10479806,+,PGD,8,ENSG00000142657
chr1,10490575,10511652,+,APITD1,4,ENSG00000175279
chr1,10490575,10511652,+,APITD1-CORT,3,ENSG00000251503
chr1,10510131,10511652,+,CORT,2,ENSG00000241563
chr1,10521547,10532515,-,DFFA,3,ENSG00000160049
chr1,10535024,10690044,+,PEX14,3,ENSG00000142655
chr1,10698999,10753946,-,CASZ1,3,ENSG00000130940
chr1,11007720,11042094,-,C1orf127,5,ENSG00000175262
chr1,11073785,11083305,+,TARDBP,9,ENSG00000120948
chr1,11086942,11107264,-,MASP2,2,ENSG00000009724
chr1,11114922,11120000,-,SRM,5,ENSG00000116649
chr1,11126775,11159888,-,EXOSC10,4,ENSG00000171824
chr1,11167542,11319466,-,MTOR,3,ENSG00000198793
chr1,11249637,11255080,+,ANGPTL7,1,ENSG00000171819
chr1,11333589,11354947,+,UBIAD1,4,ENSG00000120942
chr1,11561050,11596743,+,PTCHD2,3,ENSG00000204624
chr1,11708751,11715769,-,FBXO2,2,ENSG00000116661
chr1,11715893,11721362,+,FBXO44,9,ENSG00000132879
chr1,11728716,11733908,+,FBXO6,2,ENSG00000116663
chr1,11734832,11740658,-,MAD2L2,7,ENSG00000116670
chr1,11766316,11779753,+,DRAXIN,1,ENSG00000162490
chr1,11796266,11810343,+,AGTRAP,8,ENSG00000177674
chr1,11821844,11849516,+,C1orf167,5,ENSG00000215910
chr1,11850737,11863571,-,MTHFR,9,ENSG00000177000
chr1,11866320,11900280,+,CLCN6,5,ENSG00000011021
chr1,11906066,11907741,-,NPPA,2,ENSG00000175206
chr1,11917712,11918890,-,NPPB,1,ENSG00000120937
chr1,11980372,11986294,-,KIAA2013,2,ENSG00000116685
chr1,11994837,12034865,+,PLOD1,4,ENSG00000083444
chr1,12049226,12071622,+,MFN2,3,ENSG00000116688
chr1,12081784,12091872,+,MIIP,2,ENSG00000116691
chr1,12123656,12202588,+,TNFRSF8,4,ENSG00000120949
chr1,12227149,12267077,+,TNFRSF1B,2,ENSG00000028137
chr1,12294324,12569078,+,VPS13D,7,ENSG00000048707
chr1,12628369,12677353,-,DHRS3,2,ENSG00000162496
chr1,12704566,12726746,+,AADACL4,1,ENSG00000204518
chr1,12776344,12785963,+,AADACL3,2,ENSG00000188984
chr1,12806379,12820884,+,C1orf158,2,ENSG00000157330
chr1,12835011,12837742,+,PRAMEF12,1,ENSG00000116726
chr1,12853377,12856145,+,PRAMEF1,2,ENSG00000116721
chr1,12884800,12888523,-,PRAMEF11,2,ENSG00000204513
chr1,12907261,12908142,-,HNRNPCL1,1,ENSG00000179172
chr1,12918865,12921634,+,PRAMEF2,1,ENSG00000120952
chr1,12939365,12943215,-,PRAMEF4,1,ENSG00000243073
chr1,12952747,12955678,-,PRAMEF10,1,ENSG00000187545
chr1,12977513,12980233,+,PRAMEF7,2,ENSG00000204510
chr1,12998505,13112680,-,PRAMEF6,6,ENSG00000232423
chr1,13035543,13038381,+,PRAMEF22,1,ENSG00000204508
chr1,13052726,13052998,-,WI2-3308P17.2,1,ENSG00000239810
chr1,13216688,13219581,-,WI2-2994D6.2,1,ENSG00000229571
chr1,13328833,13331671,-,PRAMEF3,2,ENSG00000204503
chr1,13364891,13368733,+,PRAMEF5,1,ENSG00000204502
chr1,13386982,13389702,-,PRAMEF8,1,ENSG00000182330
chr1,13424003,13427859,+,PRAMEF9,1,ENSG00000204501
chr1,13448050,13450836,-,PRAMEF13,1,ENSG00000204495
chr1,13474689,13477522,-,PRAMEF18,1,ENSG00000204491
chr1,13495284,13498128,+,PRAMEF16,1,ENSG00000204488
chr1,13521973,13526873,+,PRAMEF21,2,ENSG00000204486
chr1,13644800,13648656,+,PRAMEF15,1,ENSG00000157358
chr1,13668905,13671691,-,PRAMEF14,2,ENSG00000204481
chr1,13695525,13698358,-,PRAMEF19,2,ENSG00000204480
chr1,13716118,13718962,+,PRAMEF17,1,ENSG00000204479
chr1,13742812,13747733,+,PRAMEF20,2,ENSG00000204478
chr1,13802314,13840088,-,LRRC38,1,ENSG00000162494
chr1,13910301,13942406,+,PDPN,10,ENSG00000162493
chr1,14042101,14149679,+,PRDM2,11,ENSG00000116731
chr1,14925494,15441131,+,KAZN,7,ENSG00000189337
chr1,15490840,15497774,-,C1orf195,2,ENSG00000204464
chr1,15541584,15546239,+,TMEM51,6,ENSG00000171729
chr1,15573776,15723909,+,FHAD1,15,ENSG00000142621
chr1,15736468,15755220,+,EFHD2,2,ENSG00000142634
chr1,15764961,15773084,+,CTRC,2,ENSG00000162438
chr1,15783249,15798502,+,CELA2A,1,ENSG00000142615
chr1,15802621,15817807,+,CELA2B,2,ENSG00000215704
chr1,15819438,15850695,-,CASP9,9,ENSG00000132906
chr1,15855601,15901273,+,DNAJC16,5,ENSG00000116138
chr1,15900146,15911462,-,AGMAT,1,ENSG00000116771
chr1,15944166,15983128,+,DDI2,3,ENSG00000197312
chr1,15986364,15988217,+,RSC1A1,1,ENSG00000215695
chr1,16011054,16060429,+,PLEKHM2,2,ENSG00000116786
chr1,16062981,16065901,+,SLC25A34,1,ENSG00000162461
chr1,16069055,16074127,+,TMEM82,1,ENSG00000162460
chr1,16091479,16111156,+,FBLIM1,14,ENSG00000162458
chr1,16174563,16265922,+,SPEN,3,ENSG00000065526
chr1,16268464,16274990,-,ZBTB17,6,ENSG00000116809
chr1,16330799,16332841,+,C1orf64,1,ENSG00000183888
chr1,16342075,16345964,-,HSPB7,7,ENSG00000173641
chr1,16349115,16360153,+,CLCNKA,4,ENSG00000186510
chr1,16370988,16383780,+,CLCNKB,3,ENSG00000184908
chr1,16384932,16399937,-,FAM131C,1,ENSG00000185519
chr1,16451710,16482427,-,EPHA2,1,ENSG00000142627
chr1,16525082,16535549,-,ARHGEF19,4,ENSG00000142632
chr1,16555368,16556038,-,C1orf134,1,ENSG00000204377
chr1,16558543,16563237,-,RSG1,2,ENSG00000132881
chr1,16577165,16641913,-,FBXO42,3,ENSG00000037637
chr1,16693753,16721763,+,SZRD1,6,ENSG00000055070
chr1,16713790,16757866,-,SPATA21,4,ENSG00000187144
chr1,16767257,16785491,+,NECAP2,9,ENSG00000157191
chr1,16865561,16866070,+,AL355149.2,1,ENSG00000268674
chr1,16890438,16918516,-,NBPF1,5,ENSG00000219481
chr1,16999498,17000007,+,AL137798.1,1,ENSG00000237847
chr1,17060447,17060956,-,AL021920.2,1,ENSG00000268991
chr1,17248514,17298941,+,CROCC,2,ENSG00000058453
chr1,17301415,17304768,-,MFAP2,3,ENSG00000117122
chr1,17312480,17338233,-,ATP13A2,10,ENSG00000159363
chr1,17345376,17380514,-,SDHB,1,ENSG00000117118
chr1,17395539,17445866,-,PADI2,3,ENSG00000117115
chr1,17531713,17570738,+,PADI1,4,ENSG00000142623
chr1,17575633,17609574,+,PADI3,1,ENSG00000142619
chr1,17634718,17690250,+,PADI4,2,ENSG00000159339
chr1,17655507,17676070,-,AC004824.2,1,ENSG00000269468
chr1,17735586,17765010,-,RCC2,2,ENSG00000179051
chr1,17907091,18023875,+,ARHGEF10L,7,ENSG00000074964
chr1,18149504,18153014,+,ACTL8,1,ENSG00000117148
chr1,18434623,18704820,+,IGSF21,2,ENSG00000117154
chr1,18807476,18809809,+,KLHDC7A,1,ENSG00000179023
chr1,18958098,19071423,+,PAX7,3,ENSG00000009709
chr1,19166093,19186154,-,TAS1R2,1,ENSG00000179002
chr1,19199339,19229017,-,ALDH4A1,5,ENSG00000159423
chr1,19235055,19282826,-,IFFO2,3,ENSG00000169991
chr1,19235055,19247615,-,RP13-279N23.2,1,ENSG00000255275
chr1,19401326,19536742,-,UBR4,11,ENSG00000127481
chr1,19545797,19578003,-,EMC1,7,ENSG00000127463
chr1,19578330,19585324,+,MRTO4,1,ENSG00000053372
chr1,19593794,19600568,-,AKR7L,3,ENSG00000211454
chr1,19609225,19615203,-,AKR7A3,1,ENSG00000162482
chr1,19630719,19638618,-,AKR7A2,4,ENSG00000053371
chr1,19644172,19655137,+,PQLC2,6,ENSG00000040487
chr1,19666024,19811932,-,CAPZB,8,ENSG00000077549
chr1,19923540,19952895,+,MINOS1,1,ENSG00000173436
chr1,19923561,19983622,+,MINOS1-NBL1,4,ENSG00000270136
chr1,19969806,19983622,+,NBL1,9,ENSG00000158747
chr1,19992247,20005861,+,HTR6,1,ENSG00000158748
chr1,20009122,20107251,-,TMCO4,3,ENSG00000162542
chr1,20140911,20141594,-,RNF186,1,ENSG00000178828
chr1,20209007,20234239,+,OTUD3,1,ENSG00000169914
chr1,20246800,20250052,-,PLA2G2E,1,ENSG00000188784
chr1,20302194,20305266,-,PLA2G2A,2,ENSG00000188257
chr1,20411324,20417185,+,PLA2G5,1,ENSG00000127472
chr1,20440607,20445991,-,PLA2G2D,1,ENSG00000117215
chr1,20465921,20474894,+,PLA2G2F,1,ENSG00000158786
chr1,20490484,20503856,-,PLA2G2C,2,ENSG00000187980
chr1,20517055,20517897,+,UBXN10,1,ENSG00000162543
chr1,20637095,20680756,+,VWA5B1,9,ENSG00000158816
chr1,20810142,20811872,-,CAMK2N1,1,ENSG00000162545
chr1,20827183,20834517,-,MUL1,1,ENSG00000090432
chr1,20879467,20880456,+,FAM43B,1,ENSG00000183114
chr1,20915623,20945061,+,CDA,1,ENSG00000158825
chr1,20960042,20977184,+,PINK1,1,ENSG00000158828
chr1,20978872,20987894,-,DDOST,4,ENSG00000244038
chr1,20991077,21044199,-,KIF17,3,ENSG00000117245
chr1,21048285,21054537,-,SH2D5,6,ENSG00000189410
chr1,21071290,21106933,-,HP1BP3,11,ENSG00000127483
chr1,21133812,21329235,-,EIF4G3,12,ENSG00000075151
chr1,21546448,21671871,-,ECE1,8,ENSG00000117298
chr1,21771580,21809879,+,NBPF3,5,ENSG00000142794
chr1,21880575,21904141,+,ALPL,7,ENSG00000162551
chr1,21924213,21978315,-,RAP1GAP,11,ENSG00000076864
chr1,22005910,22109450,-,USP48,10,ENSG00000090686
chr1,22138945,22148708,+,LDLRAD2,2,ENSG00000187942
chr1,22149809,22263710,-,HSPG2,9,ENSG00000142798
chr1,22303533,22324682,+,CELA3B,3,ENSG00000219073
chr1,22328168,22338960,+,CELA3A,3,ENSG00000142789
chr1,22404972,22418010,+,CDC42,5,ENSG00000070831
chr1,22446543,22469415,-,WNT4,4,ENSG00000162552
chr1,22816442,22852889,+,ZBTB40,4,ENSG00000184677
chr1,22890129,22928234,+,EPHA8,3,ENSG00000070886
chr1,22964110,22965900,+,C1QA,3,ENSG00000173372
chr1,22970517,22974276,+,C1QC,3,ENSG00000159189
chr1,22985950,22987879,+,C1QB,4,ENSG00000173369
chr1,23037476,23240363,+,EPHB2,5,ENSG00000133216
chr1,23279536,23291831,-,LACTBL1,1,ENSG00000215906
chr1,23337394,23342266,-,C1orf234,2,ENSG00000227868
chr1,23346090,23409857,+,KDM1A,5,ENSG00000004487
chr1,23415388,23420754,-,LUZP1,6,ENSG00000169641
chr1,23519579,23520712,-,HTR1D,2,ENSG00000179546
chr1,23636947,23667501,-,HNRNPR,7,ENSG00000125944
chr1,23688462,23694498,-,ZNF436,3,ENSG00000125945
chr1,23695791,23698015,+,C1orf213,5,ENSG00000249087
chr1,23707959,23751126,-,TCEA3,4,ENSG00000204219
chr1,23756349,23810626,-,ASAP3,7,ENSG00000088280
chr1,23836372,23857285,-,E2F2,1,ENSG00000007968
chr1,23885451,23885917,-,ID3,1,ENSG00000117318
chr1,23956045,23967039,+,MDS2,1,ENSG00000197880
chr1,24018314,24022863,+,RPL11,3,ENSG00000142676
chr1,24069916,24086063,+,TCEB3,1,ENSG00000011007
chr1,24105006,24113866,+,PITHD1,3,ENSG00000057757
chr1,24119173,24121222,+,LYPLA2,8,ENSG00000011009
chr1,24122439,24125497,-,GALE,6,ENSG00000117308
chr1,24128953,24164788,-,HMGCL,5,ENSG00000117305
chr1,24172205,24194776,-,FUCA1,1,ENSG00000179163
chr1,24201025,24202107,-,CNR2,2,ENSG00000188822
chr1,24287458,24288367,+,PNRC2,4,ENSG00000189266
chr1,24294153,24306745,-,SRSF10,9,ENSG00000188529
chr1,24383854,24435126,-,MYOM3,4,ENSG00000142661
chr1,24447295,24469572,-,IL22RA1,1,ENSG00000142677
chr1,24483620,24513738,-,IFNLR1,5,ENSG00000185436
chr1,24646042,24690861,+,GRHL3,7,ENSG00000158055
chr1,24685033,24727878,-,STPG1,6,ENSG00000001460
chr1,24746038,24795675,+,NIPAL3,6,ENSG00000001461
chr1,24840863,24861767,+,RCAN3,7,ENSG00000117602
chr1,24921922,24932238,+,NCMAP,1,ENSG00000184454
chr1,24969818,24998777,+,SRRM1,7,ENSG00000133226
chr1,25072045,25167428,+,CLIC4,2,ENSG00000169504
chr1,25228613,25291062,-,RUNX3,4,ENSG00000020633
chr1,25549757,25558958,-,SYF2,2,ENSG00000117614
chr1,25569080,25573454,-,C1orf63,10,ENSG00000117616
chr1,25599039,25655627,+,RHD,7,ENSG00000187010
chr1,25666978,25687196,+,TMEM50A,1,ENSG00000183726
chr1,25688927,25747277,-,RHCE,12,ENSG00000188672
chr1,25757590,25824957,+,TMEM57,3,ENSG00000204178
chr1,25870190,25893483,+,LDLRAP1,1,ENSG00000157978
chr1,25944289,26110280,+,MAN1C1,3,ENSG00000117643
chr1,26126722,26142209,+,SEPN1,3,ENSG00000162430
chr1,26140464,26149518,+,RP1-317E23.6,1,ENSG00000255054
chr1,26146744,26147250,-,AL020996.1,1,ENSG00000223474
chr1,26149596,26158517,+,MTFR1L,19,ENSG00000117640
chr1,26158579,26185848,-,AUNIP,2,ENSG00000127423
chr1,26189290,26190330,-,PAQR7,1,ENSG00000182749
chr1,26212214,26231167,-,STMN1,6,ENSG00000117632
chr1,26288480,26317307,-,PAFAH2,4,ENSG00000158006
chr1,26349138,26361838,+,EXTL1,1,ENSG00000158008
chr1,26365651,26372387,-,SLC30A2,2,ENSG00000158014
chr1,26378364,26393985,-,TRIM63,1,ENSG00000158022
chr1,26440800,26449068,+,PDIK1L,3,ENSG00000175087
chr1,26487783,26488598,+,FAM110D,1,ENSG00000197245
chr1,26496475,26497207,+,ZNF593,2,ENSG00000142684
chr1,26504039,26516039,+,CNKSR1,7,ENSG00000142675
chr1,26517119,26529033,+,CATSPER4,3,ENSG00000188782
chr1,26566275,26603784,+,CEP85,4,ENSG00000130695
chr1,26606647,26607614,+,SH3BGRL3,2,ENSG00000142669
chr1,26608790,26629374,-,UBXN11,14,ENSG00000158062
chr1,26644509,26646793,+,CD52,1,ENSG00000169442
chr1,26648459,26673148,-,AIM1L,5,ENSG00000176092
chr1,26688142,26700781,-,ZNF683,10,ENSG00000176083
chr1,26737383,26752949,+,LIN28A,2,ENSG00000131914
chr1,26759437,26795622,+,DHDDS,17,ENSG00000117682
chr1,26799104,26801639,+,HMGN2,1,ENSG00000198830
chr1,26856412,26900934,+,RPS6KA1,13,ENSG00000117676
chr1,27022895,27107247,+,ARID1A,8,ENSG00000117713
chr1,27117307,27124335,+,PIGV,7,ENSG00000060642
chr1,27153296,27182717,+,ZDHHC18,4,ENSG00000204160
chr1,27189704,27190450,+,SFN,1,ENSG00000175793
chr1,27206168,27216587,-,GPN2,3,ENSG00000142751
chr1,27217295,27226933,-,GPATCH3,3,ENSG00000198746
chr1,27237634,27272672,+,NUDC,3,ENSG00000090273
chr1,27238336,27240431,-,NR0B2,1,ENSG00000131910
chr1,27276560,27278871,-,C1orf172,1,ENSG00000175707
chr1,27320278,27320961,+,TRNP1,2,ENSG00000253368
chr1,27332435,27339161,-,FAM46B,1,ENSG00000158246
chr1,27426798,27480825,-,SLC9A1,4,ENSG00000090020
chr1,27587546,27632874,+,WDTC1,4,ENSG00000142784
chr1,27648689,27661957,+,TMEM222,7,ENSG00000186501
chr1,27671826,27680343,+,SYTL1,3,ENSG00000142765
chr1,27681809,27693088,-,MAP3K6,5,ENSG00000142733
chr1,27695727,27701309,-,FCN3,2,ENSG00000142748
chr1,27705993,27709729,-,CD164L2,3,ENSG00000174950
chr1,27720303,27721295,+,GPR3,1,ENSG00000181773
chr1,27734683,27755400,-,WASF2,2,ENSG00000158195
chr1,27873815,27878626,-,AHDC1,2,ENSG00000126705
chr1,27939425,27950427,-,FGR,6,ENSG00000000938
chr1,27992892,27995825,-,IFI6,3,ENSG00000126709
chr1,28052592,28087092,+,FAM76A,7,ENSG00000009780
chr1,28099819,28148840,+,STX12,2,ENSG00000117758
chr1,28157347,28176957,+,PPP1R8,4,ENSG00000117751
chr1,28177085,28177255,-,AL109927.1,1,ENSG00000268552
chr1,28199083,28212433,+,THEMIS2,7,ENSG00000130775
chr1,28218674,28241171,-,RPA2,5,ENSG00000117748
chr1,28261695,28285349,+,SMPDL3B,5,ENSG00000130768
chr1,28286581,28293711,+,XKR8,1,ENSG00000158156
chr1,28300977,28384537,-,EYA3,6,ENSG00000158161
chr1,28476504,28477532,-,PTAFR,3,ENSG00000169403
chr1,28526709,28559509,-,DNAJC8,2,ENSG00000126698
chr1,28527013,28527152,-,AL353354.1,1,ENSG00000215902
chr1,28527229,28527375,+,AL353354.2,1,ENSG00000269804
chr1,28562695,28573148,+,ATPIF1,4,ENSG00000130770
chr1,28586359,28607313,+,SESN2,1,ENSG00000130766
chr1,28657174,28661481,+,MED18,2,ENSG00000130772
chr1,28733959,28823061,+,PHACTR4,2,ENSG00000204138
chr1,28843351,28864519,+,RCC1,10,ENSG00000180198
chr1,28879623,28904148,+,TRNAU1AP,1,ENSG00000180098
chr1,28920312,28920629,+,RAB42,1,ENSG00000188060
chr1,28930051,28948593,-,TAF12,2,ENSG00000120656
chr1,29010125,29041285,+,GMEB1,3,ENSG00000162419
chr1,29063633,29095464,+,YTHDF2,5,ENSG00000198492
chr1,29138896,29189795,+,OPRD1,1,ENSG00000116329
chr1,29313950,29442309,+,EPB41,8,ENSG00000159023
chr1,29447417,29448340,-,TMEM200B,2,ENSG00000253304
chr1,29474922,29508264,-,SRSF4,3,ENSG00000116350
chr1,29520534,29557418,-,MECR,3,ENSG00000116353
chr1,29563157,29652173,+,PTPRU,6,ENSG00000060656
chr1,31186429,31196398,-,MATN1,1,ENSG00000162510
chr1,31206675,31230592,-,LAPTM5,1,ENSG00000162511
chr1,31346058,31381433,-,SDC3,2,ENSG00000162512
chr1,31406058,31538632,-,PUM1,19,ENSG00000134644
chr1,31654550,31712394,-,NKAIN1,5,ENSG00000084628
chr1,31732919,31769598,-,SNRNP40,3,ENSG00000060688
chr1,31782946,31837040,+,ZCCHC17,4,ENSG00000121766
chr1,31838733,31845861,-,FABP3,3,ENSG00000121769
chr1,31882685,31907046,+,SERINC2,4,ENSG00000168528
chr1,31902192,31902614,-,AC114494.1,1,ENSG00000268950
chr1,32042750,32052580,+,TINAGL1,4,ENSG00000142910
chr1,32084794,32098119,+,HCRTR1,3,ENSG00000121764
chr1,32096214,32110465,-,PEF1,2,ENSG00000162517
chr1,32118252,32167794,-,COL16A1,7,ENSG00000084636
chr1,32193021,32230403,-,BAI2,12,ENSG00000121753
chr1,32256204,32280934,-,SPOCD1,9,ENSG00000134668
chr1,32374453,32384666,-,PTP4A2,10,ENSG00000184007
chr1,32379735,32380052,+,AL136115.1,1,ENSG00000212673
chr1,32479597,32508225,+,KHDRBS1,2,ENSG00000121774
chr1,32538649,32568274,+,TMEM39B,6,ENSG00000121775
